,SHY,IEF,TLT,TIP,LQD,HYG,MBB,BOND,AGG,MOVE,JAAA,BKLN,CMBS,SGOV,BIL,USFR
2020-11-24,75.23522186279297,103.66653442382812,133.3378143310547,102.02007293701172,111.73161315917969,63.880653381347656,93.11988830566406,89.81188201904297,99.86399841308594,42.380001068115234,39.63311767578125,15.437758445739746,46.2940788269043,84.3751449584961,77.33903503417969,42.118919372558594
2020-11-25,75.24393463134766,103.70104217529297,132.9273223876953,102.1904525756836,111.79668426513672,63.851070404052734,93.0860824584961,89.81188201904297,99.8301773071289,39.619998931884766,39.5858268737793,15.465847969055176,46.42060089111328,84.36670684814453,77.33055877685547,42.10214614868164
2020-11-27,75.24393463134766,104.0118637084961,134.2174530029297,102.44189453125,112.19503784179688,63.954681396484375,93.13678741455078,89.90771484375,99.9992904663086,39.63999938964844,39.6252326965332,15.49392318725586,46.43747329711914,84.3751449584961,77.33903503417969,42.118919372558594
2020-11-30,75.2613754272461,103.94282531738281,134.04991149902344,102.55547332763672,112.58529663085938,63.8880615234375,93.11988830566406,89.9715805053711,100.13459014892578,40.84000015258789,39.64730453491211,15.451797485351562,46.580833435058594,84.3751449584961,77.33055877685547,42.10214614868164
2020-12-01,75.22038269042969,103.38986206054688,132.0733642578125,102.3223876953125,112.15840148925781,64.05227661132812,93.07669830322266,89.91555786132812,99.81779479980469,41.529998779296875,39.653621673583984,15.49392318725586,46.52653121948242,84.37093353271484,77.32466888427734,42.10214614868164
2020-12-02,75.23782348632812,103.2170639038086,131.02529907226562,102.39549255371094,111.78363800048828,64.23064422607422,93.08518981933594,89.89159393310547,99.70765686035156,43.91999816894531,39.604698181152344,15.543060302734375,46.467159271240234,84.37093353271484,77.33309173583984,42.118919372558594
2020-12-03,75.2552490234375,103.4935302734375,132.08180236816406,102.67971801757812,112.22357177734375,64.26777648925781,93.08518981933594,90.07552337646484,99.87705993652344,42.529998779296875,39.58101272583008,15.514986038208008,46.47564697265625,84.37516021728516,77.33309173583984,42.118919372558594
2020-12-04,75.24652862548828,103.08747100830078,130.1447296142578,102.46045684814453,111.60443878173828,64.5352554321289,93.08518981933594,89.89159393310547,99.60599517822266,43.88999938964844,39.56208801269531,15.571146011352539,46.535037994384766,84.37516021728516,77.34156799316406,42.13569259643555
2020-12-07,75.26397705078125,103.40713500976562,131.3187255859375,102.72843933105469,111.70223236083984,64.50554656982422,93.10208892822266,89.987548828125,99.75847625732422,49.66999816894531,39.69545364379883,15.571146011352539,46.535037994384766,84.37093353271484,77.32466888427734,42.13569259643555
2020-12-08,75.24652862548828,103.51079559326172,131.939208984375,102.89899444580078,111.57189178466797,64.45356750488281,93.13600158691406,90.0195541381836,99.76692199707031,49.099998474121094,39.63626480102539,15.585193634033203,46.6198616027832,84.37093353271484,77.32466888427734,42.127296447753906
